playlist_id,user_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,3
20,3
21,3
22,3
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,6
40,6
41,6
42,6
43,6
44,6
45,7
46,7
47,7
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,9
56,9
57,9
58,9
59,9
60,9
61,9
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,11
72,11
73,11
74,11
75,11
76,12
77,12
78,12
79,12
80,12
81,12
82,12
83,12
84,12
85,13
86,13
87,13
88,14
89,14
90,14
91,14
92,14
93,15
94,17
95,17
96,17
97,17
98,17
99,17
100,17
101,18
102,18
103,18
104,18
105,18
106,18
107,18
108,19
109,19
110,19
111,20
112,20
113,21
114,21
115,22
116,22
117,22
118,22
119,22
120,22
121,22
122,23
123,23
124,23
125,23
126,23
127,23
128,23
129,23
130,24
131,24
132,24
133,24
134,24
135,25
136,25
137,25
138,25
139,25
140,25
141,25
142,26
143,26
144,26
145,26
146,26
147,26
148,27
149,28
150,28
151,28
152,29
153,29
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,31
164,32
165,32
166,33
167,33
168,33
169,33
170,33
171,33
172,33
173,33
174,33
175,33
176,34
177,34
178,34
179,34
180,34
181,34
182,34
183,34
184,34
185,35
186,35
187,35
188,35
189,35
190,35
191,35
192,35
193,36
194,36
195,36
196,36
197,36
198,37
199,38
200,38
201,39
202,39
203,39
204,39
205,39
206,39
207,39
208,39
209,40
210,40
211,40
212,41
213,41
214,41
215,41
216,41
217,41
218,41
219,42
220,42
221,42
222,42
223,42
224,42
225,42
226,43
227,43
228,43
229,43
230,43
231,43
232,43
233,43
234,43
235,44
236,44
237,45
238,46
239,46
240,46
241,46
242,46
243,46
244,46
245,46
246,47
247,48
248,48
249,48
250,48
251,48
252,49
253,49
254,49
255,50
256,50
257,50
258,50
259,50
260,50
261,51
262,51
263,51
264,51
265,51
266,51
267,51
268,51
269,51
270,52
271,52
272,52
273,53
274,53
275,53
276,53
277,53
278,53
279,53
280,54
281,54
282,54
283,54
284,54
285,55
286,55
287,55
288,55
289,56
290,56
291,56
292,56
293,56
294,56
295,57
296,57
297,57
298,57
299,57
300,57
301,57
302,57
303,57
304,57
305,58
306,58
307,58
308,59
309,59
310,59
311,59
312,59
313,59
314,59
315,61
316,61
317,61
318,61
319,61
320,61
321,61
322,61
323,61
324,61
325,62
326,62
327,62
328,62
329,62
330,62
331,62
332,62
333,64
334,64
335,64
336,64
337,65
338,68
339,68
340,68
341,68
342,68
343,68
344,68
345,68
346,68
347,69
348,69
349,69
350,70
351,70
352,70
353,70
354,70
355,71
356,71
357,71
358,71
359,71
360,71
361,71
362,71
363,71
364,72
365,72
366,72
367,72
368,72
369,72
370,72
371,72
372,73
373,73
374,73
375,73
376,73
377,73
378,73
379,73
380,73
381,74
382,74
383,74
384,75
385,75
386,75
387,76
388,77
389,77
390,78
391,78
392,78
393,78
394,79
395,79
396,79
397,79
398,79
399,79
400,79
401,79
402,79
403,80
404,80
405,80
406,81
407,81
408,81
409,81
410,81
411,81
412,81
413,81
414,81
415,81
416,82
417,82
418,82
419,82
420,83
421,83
422,83
423,83
424,84
425,84
426,84
427,84
428,86
429,86
430,86
431,86
432,87
433,87
434,87
435,87
436,87
437,87
438,87
439,88
440,88
441,88
442,88
443,88
444,88
445,88
446,88
447,89
448,89
449,89
450,89
451,89
452,90
453,90
454,90
455,90
456,92
457,92
458,92
459,92
460,92
461,92
462,92
463,92
464,92
465,93
466,93
467,93
468,93
469,93
470,93
471,93
472,93
473,94
474,94
475,94
476,94
477,95
478,96
479,96
480,96
481,96
482,96
483,98
484,98
485,98
486,98
487,98
488,98
489,99
490,99
491,99
492,99
493,99
494,99
495,99
496,99
497,100
498,100
499,100
500,100
501,100
502,101
503,101
504,101
505,101
506,101
507,101
508,101
509,101
510,101
511,101
512,103
513,103
514,103
515,104
516,104
517,104
518,104
519,106
520,106
521,106
522,106
523,106
524,106
525,106
526,106
527,106
528,106
529,107
530,107
531,107
532,107
533,107
534,107
535,107
536,107
537,108
538,108
539,108
540,108
541,108
542,108
543,108
544,108
545,108
546,108
547,109
548,109
549,109
550,109
551,109
552,109
553,109
554,109
555,109
556,109
557,110
558,111
559,111
560,111
561,111
562,112
563,112
564,112
565,112
566,112
567,112
568,112
569,112
570,113
571,114
572,114
573,115
574,115
575,115
576,115
577,115
578,115
579,116
580,116
581,116
582,118
583,118
584,119
585,119
586,119
587,119
588,119
589,119
