user_id,playlist_id,action_type,action_time,details
1,1,create,2025-11-24 11:38:21,user1_mix_1
1,2,create,2025-11-24 11:38:21,user1_mix_2
1,3,create,2025-11-24 11:38:21,user1_mix_3
1,4,create,2025-11-24 11:38:21,user1_mix_4
1,5,create,2025-11-24 11:38:21,user1_mix_5
1,6,create,2025-11-24 11:38:21,user1_mix_6
1,7,create,2025-11-24 11:38:21,user1_mix_7
1,8,create,2025-11-24 11:38:21,user1_mix_8
1,9,create,2025-11-24 11:38:21,user1_mix_9
1,10,create,2025-11-24 11:38:21,user1_mix_10
2,11,create,2025-11-24 11:38:21,user2_mix_1
2,12,create,2025-11-24 11:38:21,user2_mix_2
2,13,create,2025-11-24 11:38:21,user2_mix_3
2,14,create,2025-11-24 11:38:21,user2_mix_4
2,15,create,2025-11-24 11:38:21,user2_mix_5
2,16,create,2025-11-24 11:38:21,user2_mix_6
2,17,create,2025-11-24 11:38:21,user2_mix_7
2,18,create,2025-11-24 11:38:21,user2_mix_8
3,19,create,2025-11-24 11:38:21,user3_mix_1
3,20,create,2025-11-24 11:38:21,user3_mix_2
3,21,create,2025-11-24 11:38:21,user3_mix_3
3,22,create,2025-11-24 11:38:21,user3_mix_4
4,23,create,2025-11-24 11:38:21,user4_mix_1
4,24,create,2025-11-24 11:38:21,user4_mix_2
4,25,create,2025-11-24 11:38:21,user4_mix_3
4,26,create,2025-11-24 11:38:21,user4_mix_4
4,27,create,2025-11-24 11:38:21,user4_mix_5
4,28,create,2025-11-24 11:38:21,user4_mix_6
4,29,create,2025-11-24 11:38:21,user4_mix_7
4,30,create,2025-11-24 11:38:21,user4_mix_8
5,31,create,2025-11-24 11:38:21,user5_mix_1
5,32,create,2025-11-24 11:38:21,user5_mix_2
5,33,create,2025-11-24 11:38:21,user5_mix_3
5,34,create,2025-11-24 11:38:21,user5_mix_4
5,35,create,2025-11-24 11:38:21,user5_mix_5
5,36,create,2025-11-24 11:38:21,user5_mix_6
5,37,create,2025-11-24 11:38:21,user5_mix_7
5,38,create,2025-11-24 11:38:21,user5_mix_8
6,39,create,2025-11-24 11:38:21,user6_mix_1
6,40,create,2025-11-24 11:38:21,user6_mix_2
6,41,create,2025-11-24 11:38:21,user6_mix_3
6,42,create,2025-11-24 11:38:21,user6_mix_4
6,43,create,2025-11-24 11:38:21,user6_mix_5
6,44,create,2025-11-24 11:38:21,user6_mix_6
7,45,create,2025-11-24 11:38:21,user7_mix_1
7,46,create,2025-11-24 11:38:21,user7_mix_2
7,47,create,2025-11-24 11:38:21,user7_mix_3
8,48,create,2025-11-24 11:38:21,user8_mix_1
8,49,create,2025-11-24 11:38:21,user8_mix_2
8,50,create,2025-11-24 11:38:21,user8_mix_3
8,51,create,2025-11-24 11:38:21,user8_mix_4
8,52,create,2025-11-24 11:38:21,user8_mix_5
8,53,create,2025-11-24 11:38:21,user8_mix_6
8,54,create,2025-11-24 11:38:21,user8_mix_7
9,55,create,2025-11-24 11:38:21,user9_mix_1
9,56,create,2025-11-24 11:38:21,user9_mix_2
9,57,create,2025-11-24 11:38:21,user9_mix_3
9,58,create,2025-11-24 11:38:21,user9_mix_4
9,59,create,2025-11-24 11:38:21,user9_mix_5
9,60,create,2025-11-24 11:38:21,user9_mix_6
9,61,create,2025-11-24 11:38:21,user9_mix_7
10,62,create,2025-11-24 11:38:21,user10_mix_1
10,63,create,2025-11-24 11:38:21,user10_mix_2
10,64,create,2025-11-24 11:38:21,user10_mix_3
10,65,create,2025-11-24 11:38:21,user10_mix_4
10,66,create,2025-11-24 11:38:21,user10_mix_5
10,67,create,2025-11-24 11:38:21,user10_mix_6
10,68,create,2025-11-24 11:38:21,user10_mix_7
10,69,create,2025-11-24 11:38:21,user10_mix_8
10,70,create,2025-11-24 11:38:21,user10_mix_9
11,71,create,2025-11-24 11:38:21,user11_mix_1
11,72,create,2025-11-24 11:38:21,user11_mix_2
11,73,create,2025-11-24 11:38:21,user11_mix_3
11,74,create,2025-11-24 11:38:21,user11_mix_4
11,75,create,2025-11-24 11:38:21,user11_mix_5
12,76,create,2025-11-24 11:38:21,user12_mix_1
12,77,create,2025-11-24 11:38:21,user12_mix_2
12,78,create,2025-11-24 11:38:21,user12_mix_3
12,79,create,2025-11-24 11:38:21,user12_mix_4
12,80,create,2025-11-24 11:38:21,user12_mix_5
12,81,create,2025-11-24 11:38:21,user12_mix_6
12,82,create,2025-11-24 11:38:21,user12_mix_7
12,83,create,2025-11-24 11:38:21,user12_mix_8
12,84,create,2025-11-24 11:38:21,user12_mix_9
13,85,create,2025-11-24 11:38:21,user13_mix_1
13,86,create,2025-11-24 11:38:21,user13_mix_2
13,87,create,2025-11-24 11:38:21,user13_mix_3
14,88,create,2025-11-24 11:38:21,user14_mix_1
14,89,create,2025-11-24 11:38:21,user14_mix_2
14,90,create,2025-11-24 11:38:21,user14_mix_3
14,91,create,2025-11-24 11:38:21,user14_mix_4
14,92,create,2025-11-24 11:38:21,user14_mix_5
15,93,create,2025-11-24 11:38:21,user15_mix_1
17,94,create,2025-11-24 11:38:21,user17_mix_1
17,95,create,2025-11-24 11:38:21,user17_mix_2
17,96,create,2025-11-24 11:38:21,user17_mix_3
17,97,create,2025-11-24 11:38:21,user17_mix_4
17,98,create,2025-11-24 11:38:21,user17_mix_5
17,99,create,2025-11-24 11:38:21,user17_mix_6
17,100,create,2025-11-24 11:38:21,user17_mix_7
18,101,create,2025-11-24 11:38:21,user18_mix_1
18,102,create,2025-11-24 11:38:21,user18_mix_2
18,103,create,2025-11-24 11:38:21,user18_mix_3
18,104,create,2025-11-24 11:38:21,user18_mix_4
18,105,create,2025-11-24 11:38:21,user18_mix_5
18,106,create,2025-11-24 11:38:21,user18_mix_6
18,107,create,2025-11-24 11:38:21,user18_mix_7
19,108,create,2025-11-24 11:38:21,user19_mix_1
19,109,create,2025-11-24 11:38:21,user19_mix_2
19,110,create,2025-11-24 11:38:21,user19_mix_3
20,111,create,2025-11-24 11:38:21,user20_mix_1
20,112,create,2025-11-24 11:38:21,user20_mix_2
21,113,create,2025-11-24 11:38:21,user21_mix_1
21,114,create,2025-11-24 11:38:21,user21_mix_2
22,115,create,2025-11-24 11:38:21,user22_mix_1
22,116,create,2025-11-24 11:38:21,user22_mix_2
22,117,create,2025-11-24 11:38:21,user22_mix_3
22,118,create,2025-11-24 11:38:21,user22_mix_4
22,119,create,2025-11-24 11:38:21,user22_mix_5
22,120,create,2025-11-24 11:38:21,user22_mix_6
22,121,create,2025-11-24 11:38:21,user22_mix_7
23,122,create,2025-11-24 11:38:21,user23_mix_1
23,123,create,2025-11-24 11:38:21,user23_mix_2
23,124,create,2025-11-24 11:38:21,user23_mix_3
23,125,create,2025-11-24 11:38:21,user23_mix_4
23,126,create,2025-11-24 11:38:21,user23_mix_5
23,127,create,2025-11-24 11:38:21,user23_mix_6
23,128,create,2025-11-24 11:38:21,user23_mix_7
23,129,create,2025-11-24 11:38:21,user23_mix_8
24,130,create,2025-11-24 11:38:21,user24_mix_1
24,131,create,2025-11-24 11:38:21,user24_mix_2
24,132,create,2025-11-24 11:38:21,user24_mix_3
24,133,create,2025-11-24 11:38:21,user24_mix_4
24,134,create,2025-11-24 11:38:21,user24_mix_5
25,135,create,2025-11-24 11:38:21,user25_mix_1
25,136,create,2025-11-24 11:38:21,user25_mix_2
25,137,create,2025-11-24 11:38:21,user25_mix_3
25,138,create,2025-11-24 11:38:21,user25_mix_4
25,139,create,2025-11-24 11:38:21,user25_mix_5
25,140,create,2025-11-24 11:38:21,user25_mix_6
25,141,create,2025-11-24 11:38:21,user25_mix_7
26,142,create,2025-11-24 11:38:21,user26_mix_1
26,143,create,2025-11-24 11:38:21,user26_mix_2
26,144,create,2025-11-24 11:38:21,user26_mix_3
26,145,create,2025-11-24 11:38:21,user26_mix_4
