playlist_id,playlist_name,created_at,updated_at
1,user1_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
2,user1_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
3,user1_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
4,user1_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
5,user1_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
6,user1_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
7,user1_mix_7,2025-11-23 05:37:06,2025-11-23 05:37:06
8,user1_mix_8,2025-11-23 05:37:06,2025-11-23 05:37:06
9,user1_mix_9,2025-11-23 05:37:06,2025-11-23 05:37:06
10,user1_mix_10,2025-11-23 05:37:06,2025-11-23 05:37:06
11,user2_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
12,user2_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
13,user2_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
14,user2_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
15,user2_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
16,user2_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
17,user2_mix_7,2025-11-23 05:37:06,2025-11-23 05:37:06
18,user2_mix_8,2025-11-23 05:37:06,2025-11-23 05:37:06
19,user3_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
20,user3_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
21,user3_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
22,user3_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
23,user4_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
24,user4_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
25,user4_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
26,user4_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
27,user4_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
28,user4_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
29,user4_mix_7,2025-11-23 05:37:06,2025-11-23 05:37:06
30,user4_mix_8,2025-11-23 05:37:06,2025-11-23 05:37:06
31,user5_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
32,user5_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
33,user5_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
34,user5_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
35,user5_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
36,user5_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
37,user5_mix_7,2025-11-23 05:37:06,2025-11-23 05:37:06
38,user5_mix_8,2025-11-23 05:37:06,2025-11-23 05:37:06
39,user6_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
40,user6_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
41,user6_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
42,user6_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
43,user6_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
44,user6_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
45,user7_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
46,user7_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
47,user7_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
48,user8_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
49,user8_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
50,user8_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
51,user8_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
52,user8_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
53,user8_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
54,user8_mix_7,2025-11-23 05:37:06,2025-11-23 05:37:06
55,user9_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
56,user9_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
57,user9_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
58,user9_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
59,user9_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
60,user9_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
61,user9_mix_7,2025-11-23 05:37:06,2025-11-23 05:37:06
62,user10_mix_1,2025-11-23 05:37:06,2025-11-23 05:37:06
63,user10_mix_2,2025-11-23 05:37:06,2025-11-23 05:37:06
64,user10_mix_3,2025-11-23 05:37:06,2025-11-23 05:37:06
65,user10_mix_4,2025-11-23 05:37:06,2025-11-23 05:37:06
66,user10_mix_5,2025-11-23 05:37:06,2025-11-23 05:37:06
67,user10_mix_6,2025-11-23 05:37:06,2025-11-23 05:37:06
